Designator,Mid X,Mid Y,Rotation,Layer
A1,68.12015,-128.509261,90.0,top
C1,134.9325,-123.5,0.0,bottom
C10,106.61,-128.23,180.0,bottom
C11,106.115,-133.5357,0.0,bottom
C12,106.0925,-135.7357,0.0,bottom
C13,106.815,-137.5357,0.0,bottom
C14,109.35,-117.3625,90.0,bottom
C15,105.9525,-130.1425,0.0,top
C16,115.85,-143.55,0.0,bottom
C17,115.85,-142.55,0.0,bottom
C18,112.79,-143.0425,180.0,bottom
C19,110.3525,-123.4425,90.0,top
C2,132.8525,-117.1425,180.0,top
C20,110.4,-113.15,270.0,bottom
C21,105.5525,-122.6425,0.0,bottom
C22,105.54,-121.32,0.0,bottom
C23,75.30265,-132.519261,0.0,bottom
C24,124.2,-128.75,90.0,top
C25,72.8,-142.05,90.0,bottom
C26,71.2,-142.8675,90.0,bottom
C27,59.25265,-130.819261,270.0,bottom
C28,66.80265,-142.019261,0.0,bottom
C29,66.80265,-143.769261,0.0,bottom
C3,135.68,-131.97,0.0,bottom
C30,66.348849,-91.825424,90.0,top
C31,75.648849,-91.932274,90.0,top
C32,81.1575,-91.21325,180.0,top
C33,81.1825,-81.7,180.0,top
C34,64.3,-130.75,180.0,bottom
C35,63.5,-132.35,180.0,bottom
C36,75.845,-82.1,0.0,bottom
C37,76.6325,-80.5,0.0,bottom
C38,124.2,-125.7,90.0,top
C4,134.0525,-137.5425,0.0,bottom
C5,134.5225,-134.7425,0.0,bottom
C6,136.585,-137.6425,270.0,bottom
C7,123.192702,-137.9425,0.0,bottom
C8,134.5725,-118.335,90.0,bottom
C9,132.415,-120.4425,180.0,top
D1,114.5525,-135.1425,0.0,top
D2,105.9525,-135.3425,270.0,top
D3,89.0,-136.85,0.0,top
D4,89.05,-138.95,0.0,top
D5,89.9,-77.0,0.0,top
D6,89.75,-95.4,0.0,top
D7,138.84,-82.6625,270.0,top
J1,126.0025,-138.6857,0.0,top
J10,68.05265,-139.519261,0.0,top
J11,88.895,-129.15,270.0,bottom
J12,74.517,-72.715,0.0,top
J13,120.1525,-115.2425,180.0,bottom
J14,83.6,-82.2,270.0,bottom
J15,74.55265,-116.519261,180.0,bottom
J16,144.915,-142.005,90.0,top
J18,109.845,-97.97,0.0,top
J19,66.798849,-98.442924,0.0,top
J2,83.7,-100.05,0.0,top
J20,75.150699,-98.549774,0.0,top
J21,88.03825,-90.81325,90.0,top
J22,88.0225,-82.4,90.0,top
J23,126.82,-85.815,90.0,top
J24,127.77,-112.65,180.0,top
J3,83.73,-97.0246,0.0,top
J4,75.175699,-94.176274,0.0,bottom
J5,66.925,-94.1715,0.0,bottom
J6,83.65,-90.55,270.0,bottom
J7,84.5,-129.25,90.0,top
J8,79.05265,-139.519261,0.0,top
J9,82.35,-122.7,90.0,bottom
L1,126.1525,-127.06575,90.0,bottom
L2,110.7826,-123.6425,0.0,bottom
P1,114.1225,-141.0157,0.0,top
R1,123.292702,-136.9425,0.0,bottom
R10,108.15,-139.12,270.0,bottom
R11,109.6525,-131.4425,270.0,top
R12,86.4,-136.9,270.0,top
R13,86.4,-138.95,90.0,top
R14,89.16,-75.25,0.0,top
R15,86.95,-95.45,270.0,top
R16,136.89,-82.76,270.0,top
R17,142.885,-137.619988,0.0,top
R2,132.93,-130.04,90.0,bottom
R22,67.398849,-91.975424,270.0,top
R23,74.546999,-92.092924,270.0,top
R24,81.315,-90.2,0.0,top
R25,81.3325,-82.7,0.0,top
R3,130.8525,-114.7425,180.0,top
R4,134.21,-129.8825,270.0,bottom
R5,135.24,-129.89,270.0,bottom
R6,123.082702,-138.9425,180.0,bottom
R7,105.39,-126.89,0.0,bottom
R8,105.37,-125.69,0.0,bottom
R9,115.0475,-140.9357,0.0,bottom
TP8,102.32,-94.59,270.0,top
TP9,102.32,-100.39,270.0,top
U1,133.71,-127.5468,180.0,top
U10,117.8525,-126.642512,270.0,top
U12,62.45,-126.85,0.0,bottom
U2,128.34,-126.37,90.0,top
U3,134.960001,-126.4425,180.0,bottom
U4,106.5,-130.6375,180.0,bottom
U5,114.0775,-132.91,180.0,bottom
U6,134.650001,-135.595001,90.0,top
U7,67.117,-86.765,90.0,top
U8,74.6137,-86.615,0.0,top
U9,74.6967,-80.95,0.0,top
Y1,106.0525,-121.9757,90.0,top
