"Refs","Value","Footprint","Qty","DNP"
"C1","0.1µF","Capacitor_SMD:CP_Elec_5x3","1",""
"C2","0.1µF","Capacitor_SMD:CP_Elec_5x3","1",""
"C3","0.22µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","0.22µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C9","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C10","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C11","0.1µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C12","4.7µF","Capacitor_SMD:C_0402_1005Metric","1",""
"C13","4.7µF","Capacitor_SMD:C_0402_1005Metric","1",""
"D1","GREEN","LED_SMD:LED_0805_2012Metric","1",""
"D2","BLUE","LED_SMD:LED_0805_2012Metric","1",""
"D3","YELLOW","LED_SMD:LED_0805_2012Metric","1",""
"D4","YELLOW","LED_SMD:LED_0805_2012Metric","1",""
"H1","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H2","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H3","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H4","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H5","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H6","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H7","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"H8","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom","1",""
"J1","Power","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1",""
"J2","Fan_12/5V_Regelung","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1",""
"J3","DATA","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","1",""
"J4","FAN0","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J5","FAN1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J6","FAN2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J7","FAN4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J8","T0","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J9","T1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J10","T2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J11","T3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J12","Breakout_Board_ADXL345","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","1",""
"J13","Steckverbinder_Male_1","CustomFotLibByJan:BF100-16-A-D-1-0640-L-C","1",""
"J14","Steckverbinder_Male_2","CustomFotLibByJan:BF100-16-A-D-1-0640-L-C","1",""
"J15","Steckverbinder_Female_2","CustomFotLibByJan:BF100-16-A-D-1-0640-L-C","1",""
"Q1","DTC143E","Package_TO_SOT_SMD:SOT-723","1",""
"Q2","DTC143E","Package_TO_SOT_SMD:SOT-723","1",""
"Q4","DTC143E","Package_TO_SOT_SMD:SOT-723","1",""
"Q5","DTC143E","Package_TO_SOT_SMD:SOT-723","1",""
"R1","1k","Resistor_SMD:R_0402_1005Metric","1",""
"R2","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R3","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R4","600","Resistor_SMD:R_0402_1005Metric","1",""
"R5","120","Resistor_SMD:R_0402_1005Metric","1",""
"R6","600","Resistor_SMD:R_0402_1005Metric","1",""
"R7","600","Resistor_SMD:R_0402_1005Metric","1",""
"R8","120","Resistor_SMD:R_0402_1005Metric","1",""
"R9","600","Resistor_SMD:R_0402_1005Metric","1",""
"R10","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R12","10k","Resistor_SMD:R_0402_1005Metric","1",""
"R14","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R16","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R18","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R19","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R20","330","Resistor_SMD:R_0402_1005Metric","1",""
"R21","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R22","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R25","330","Resistor_SMD:R_0402_1005Metric","1",""
"R26","330","Resistor_SMD:R_0402_1005Metric","1",""
"U1","PCA9615DP","Package_SO:TSSOP-10_3x3mm_P0.5mm","1",""
"U2","EMC2302-2-AIZL-TR","CustomFotLibByJan:MSOP10_MC_MCH","1",""
"U4","ADS1015IDGS","Package_SO:TSSOP-10_3x3mm_P0.5mm","1",""
"U5","PCA9536D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U6","AP7361C-33E","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
